element,centroid_x,centroid_y,E,Gc,history
246,0.3055555555555555,0.4444444444444444,1000.0,1.0,3.200000000000001
247,0.27777777777777773,0.47222222222222215,1000.0,1.0,3.200000000000001
248,0.38888888888888884,0.4444444444444444,1000.0,1.0,3.200000000000001
249,0.3611111111111111,0.47222222222222215,1000.0,1.0,3.200000000000001
250,0.47222222222222215,0.4444444444444444,450.0,1.0,1.4399999999999988
251,0.4444444444444444,0.47222222222222215,1000.0,1.0,3.1999999999999975
252,0.5555555555555555,0.4444444444444444,450.0,1.0,1.4400000000000008
253,0.5277777777777778,0.47222222222222215,450.0,1.0,1.4400000000000008
254,0.6388888888888888,0.4444444444444444,450.0,1.0,1.4399999999999988
255,0.611111111111111,0.47222222222222215,450.0,1.0,1.4399999999999988
256,0.7222222222222222,0.4444444444444444,450.0,1.0,1.4399999999999988
257,0.6944444444444443,0.47222222222222215,450.0,1.0,1.4399999999999988
258,0.8055555555555555,0.4444444444444444,450.0,1.0,1.4400000000000006
